species,inchi,smiles,mult,ANL1,ANL0,Ladder,Best
! These are all in kcal/mol.
 OHOOOH,"InChI=1S/H2O4/c1-3-4-2/h1-2H","OOOO",1,0,-8.338576541,-8.192829199,-8.192829199
 NH,"InChI=1S/HN/h1H","[NH]",3,85.69915383,85.80479698,85.75952907,85.69915383
 NH2,"InChI=1S/H2N/h1H2","[NH2]",2,45.14960896,45.19487687,45.14960896,45.14960896
 N2,"InChI=1S/N2/c1-2","N#N",1,-0.035596316,-0.08211875,-0.035596316,-0.035596316
 NNH,"InChI=1S/HN2/c1-2/h1H","[N]=N",2,60.17410551,60.17731515,60.17410551,60.17410551
 NH2N,"InChI=1S/H2N2/c1-2/h1H2","[N]N",1,73.50283796,73.41359613,73.39651563,73.50283796
 NHNH2,"InChI=1S/H3N2/c1-2/h1H,2H2","[NH]N",2,55.99315303,56.01023353,55.99315303,55.99315303
 NH2NH2,"InChI=1S/H4N2/c1-2/h1-2H2","NN",1,26.72146894,26.56827424,26.72146894,26.72146894
 CN,"InChI=1S/CN/c1-2","[C]#N",2,104.2218958,104.0583305,104.2218958,104.2218958
 HCN,"InChI=1S/CHN/c1-2/h1H","C#N",1,30.85599082,30.82340419,30.85599082,30.85599082
 CNH,"InChI=1S/CHN/c1-2/h2H","[C]=N",1,45.80697663,45.84498356,45.89828988,45.80697663
 CH2N,"InChI=1S/CH2N/c1-2/h1H2","C=[N]",2,57.88209159,58.02830945,57.88209159,57.88209159
 CH2NH,"InChI=1S/CH3N/c1-2/h2H,1H2","C=N",1,23.0153606,22.99424526,23.0153606,23.0153606
 CH2NH2,"InChI=1S/CH4N/c1-2/h1-2H2","[CH2]N",2,38.11663882,38.19551355,38.11663882,38.11663882
 CH3NH,"InChI=1S/CH4N/c1-2/h2H,1H3","C[NH]",2,45.16492124,45.22416397,45.16492124,45.16492124
 CH3NH2,"InChI=1S/CH5N/c1-2/h2H2,1H3","CN",1,-1.437089191,-1.493737322,-1.437089191,-1.437089191
 CH2CN,"InChI=1S/C2H2N/c1-2-3/h1H2","C=C=[N]",2,63.01700813,63.08669958,63.03551851,63.01700813
 CHCNH,"InChI=1S/C2H2N/c1-2-3/h1,3H","C#C[NH]",2,94.69785628,94.70744562,94.64120167,94.69785628
 CH3CN,"InChI=1S/C2H3N/c1-2-3/h1H3","CC#N",1,19.15911734,19.14765236,19.15224985,19.15911734
 CH3NC,"InChI=1S/C2H3N/c1-3-2/h1H3","[C-]#[N+]C",1,43.90147798,43.9201194,44.03007385,43.90147798
 CH2CNH,"InChI=1S/C2H3N/c1-2-3/h3H,1H2","C=C=N",1,46.26384431,46.24001495,46.24283588,46.26384431
 CHCNH2,"InChI=1S/C2H3N/c1-2-3/h1H,3H2","C#CN",1,60.5486888,60.52257467,60.62677983,60.5486888
 c-CH2CHN,"InChI=1S/C2H3N/c1-2-3-1/h1H,2H2","C1=NC1",1,67.19696894,67.1002022,67.14997653,67.19696894
 CH3CHN,"InChI=1S/C2H4N/c1-2-3/h2H,1H3","CC=[N]",2,0,50.36039666,50.18618965,50.18618965
 CH2CHNHa,"InChI=1S/C2H4N/c1-2-3/h2-3H,1H2","C=C[NH]",2,0,52.49657416,52.43392181,52.43392181
 CH2CHNHb,"InChI=1S/C2H4N/c1-2-3/h2-3H,1H2","C=C[NH]",2,0,52.49657416,52.43392181,52.43392181
 CH3CNHa,"InChI=1S/C2H4N/c1-2-3/h3H,1H3","C[C]=N",2,0,55.8516368,55.86004902,55.86004902
 CH3CNHb,"InChI=1S/C2H4N/c1-2-3/h3H,1H3","C[C]=N",2,0,55.8516368,55.86004902,55.86004902
 CH2NCH2,"InChI=1S/C2H4N/c1-3-2/h1-2H2","[CH2]N=C",2,0,60.28453814,60.22677875,60.22677875
 CH3NCHa,"InChI=1S/C2H4N/c1-3-2/h1H,2H3","[CH]=NC",2,0,66.58963753,,66.58963753
 CH3NCHb,"InChI=1S/C2H4N/c1-3-2/h1H,2H3","[CH]=NC",2,0,66.58963753,,66.58963753
 CH2CNH2,"InChI=1S/C2H4N/c1-2-3/h1,3H2","C=[C]N",2,0,70.45283936,70.32547893,70.32547893
 CH3CHNHa,"InChI=1S/C2H5N/c1-2-3/h2-3H,1H3/b3-2-","[H]/N=C/C",1,0,13.35637253,13.34949873,13.34949873
 CH3CHNHb,"InChI=1S/C2H5N/c1-2-3/h2-3H,1H3/b3-2+","[H]/N=C/C",1,0,13.35637253,13.34949873,13.34949873
 CH2CHNH2,"InChI=1S/C2H5N/c1-2-3/h2H,1,3H2","C=CN",1,0,16.4912001,16.52955383,16.52955383
 CH3NCH2,"InChI=1S/C2H5N/c1-3-2/h1H2,2H3","C=NC",1,0,22.73141496,22.80917843,22.80917843
 CH3CHNH2,"InChI=1S/C2H6N/c1-2-3/h2H,3H2,1H3","C[CH]N",2,0,31.89069911,31.76693027,31.76693027
 CH3CH2NH,"InChI=1S/C2H6N/c1-2-3/h3H,2H2,1H3","CC[NH]",2,0,39.99670486,39.90947299,39.90947299
 CH3NHCH2,"InChI=1S/C2H6N/c1-3-2/h3H,1H2,2H3","[CH2]NC",2,0,40.50466045,40.48243385,40.48243385
 CH2CH2NH2,"InChI=1S/C2H6N/c1-2-3/h1-3H2","[CH2]CN",2,0,41.87703329,41.84991373,41.84991373
 CH3NCH3,"InChI=1S/C2H6N/c1-3-2/h1-2H3","C[N]C",1,0,42.22697982,42.15376228,42.15376228
 CH3CH2NH2,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3","CCN",1,0,-6.724324456,-6.695665466,-6.695665466
 CH3NHCH3,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3","CNC",1,0,1.328293184,1.441589447,1.441589447
 CHCCN,"InChI=1S/C3HN/c1-2-3-4/h1H","C#CC#N",1,0,88.97121429,89.02336881,89.02336881
 CH2CCN,"InChI=1S/C3H2N/c1-2-3-4/h1H2","C=C=C=[N]",2,0,99.50612021,99.32331353,99.32331353
 CHCNCHa,"InChI=1S/C3H2N/c1-3-4-2/h1-2H","[CH]=NC#C",2,0,134.8997751,135.0572866,135.0572866
 CHCNCHb,"InChI=1S/C3H2N/c1-3-4-2/h1-2H","[CH]=NC#C",2,0,134.8997751,135.0572866,135.0572866
 CH2CHCN,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2","C=CC#N",1,0,46.29879282,46.2850959,46.2850959
 CH2CHCHN,"InChI=1S/C3H4N/c1-2-3-4/h2-3H,1H2","C=CC=[N]",2,0,74.68506646,74.49256505,74.49256505
 c-CHCHCHCHNH,"InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H","c1cc[nH]c1",1,0,29.84075601,29.88947432,29.88947432
 CHCCCCN,"InChI=1S/C5HN/c1-2-3-4-5-6/h1H","C#CC#CC#N",1,0,143.3543267,143.4260491,143.4260491
 NCNH,"InChI=1S/CHN2/c2-1-3/h2H","[N]=C=N",2,76.81371192,76.838108,76.8114519,76.81371192
 CHNNa,"InChI=1S/CHN2/c1-3-2/h1H","C#[N+][N-]",2,111.2957,111.2537808,111.1716964,111.2957
 CHNNb,"InChI=1S/CHN2/c1-3-2/h1H","C#[N+][N-]",2,111.2957,111.2537808,111.1716964,111.2957
 c-CHN2,"InChI=1S/CHN2/c1-2-3-1/h1H","C1=N[N]1",2,117.0024929,116.9431535,-19999881.18,117.0024929
 NCCN,"InChI=1S/C2N2/c3-1-2-4","N#CC#N",1,73.34505164,73.26721108,73.30439519,73.34505164
